Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Namo Namo,Amit Trivedi,Kedarnath,Amit Trivedi,27-11-2018,2018,1,1,322250,322.25,5.370833333,FALSE,71,"desi pop,filmi,modern bollywood",0.648,0.711,4,-6.216,1,0.0304,0.436,0,0.121,0.33,119.935,4,Hindi
Shree Hanuman Chalisa,Hariharan,Shree Hanuman Chalisa (Hanuman Ashtak),Hariharan,01-01-1992,1992,1,1,586075,586.075,9.767916667,FALSE,64,"filmi,ghazal,tamil pop",0.589,0.885,4,-3.4,1,0.035,0.545,0,0.132,0.831,91.01,4,Hindi
Achutam Keshavam,Vikram Hazra,Amrit,Vikram Hazra,01-01-2008,2008,1,1,348333,348.333,5.80555,FALSE,50,"bhajan,mantra",0.523,0.549,2,-11.508,1,0.0439,0.218,0,0.0797,0.661,92.521,4,Hindi
Achyutam Keshavam,Shreya Ghoshal,Achyutam Keshavam,Shreya Ghoshal,07-08-2019,2019,1,1,279754,279.754,4.662566667,FALSE,52,"desi pop,filmi,modern bollywood",0.25,0.684,5,-13.165,1,0.124,0.656,0.000151,0.16,0.165,85.047,4,Hindi
Shendur Laal Chadhayo (Aarti),Ravindra Sathe,Vaastav: The Reality,"Jatin-Lalit, Rahul Ranade",28-08-1999,1999,1,6,194253,194.253,3.23755,FALSE,48,mantra,0.487,0.675,0,-12.76,1,0.0648,0.549,0.000115,0.428,0.722,125.518,4,Hindi
Sankatmochan Hanuman Ashtak,Hariharan,Shree Hanuman Chalisa (Hanuman Ashtak),Hariharan,01-01-1992,1992,1,2,368700,368.7,6.145,FALSE,53,"filmi,ghazal,tamil pop",0.625,0.727,4,-3.035,1,0.0308,0.777,0,0.0717,0.894,86.471,3,Hindi
Om Jai Jagdish Hare,Anuradha Paudwal,Aarti Vol-3,Anuradha Paudwal,01-01-1989,1989,1,11,332558,332.558,5.542633333,FALSE,28,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.531,0.837,1,-7.346,0,0.056,0.766,0,0.359,0.776,96.317,4,Hindi
Ramayan Manka 100 Chaupai,Kumar Vishu,Ramayan Manka 100 Chaupai,Kumar Vishu,14-01-2020,2020,1,1,3455714,3455.714,57.59523333,FALSE,26,bhajan,0.413,0.832,5,-4.838,0,0.0584,0.451,0,0.422,0.78,83.221,4,Hindi
Shree Ram Stuti,Nitin Mukesh,Shree Hanuman Chalisa,Nitin Mukesh,22-02-2010,2010,1,5,155123,155.123,2.585383333,FALSE,32,"classic bollywood,filmi,ghazal",0.744,0.455,7,-4.194,0,0.038,0.862,0,0.316,0.514,101.144,4,Hindi
Mangal Bhawan Amangal Hari,"Ravindra Jain, Ranchana, Deepmala, Satish, Myuzic Pandits","Mangal Bhawan Amangal Haari, Vol. 1",Various Artists,27-12-2017,2017,1,7,503333,503.333,8.388883333,FALSE,46,"bhajan,jain bhajan,bhajan",0.445,0.639,5,-7.31,1,0.036,0.442,0,0.213,0.659,84.544,4,Hindi
Shri Krishna Govind Hare Murari,"Ravindra Jain, Myuzic Pandits","Shri Krishna Govinda Hare Murari, Vol. 2",Various Artists,06-09-2016,2016,1,3,533106,533.106,8.8851,FALSE,47,"bhajan,jain bhajan,bhajan",0.421,0.79,6,-3.633,1,0.0752,0.551,0,0.0618,0.704,184.132,4,Hindi
"Shriman Narayan (Traditional Dhun) [From ""Shriman Narayan (Traditional Dhun)""]",Suresh Wadkar,Akshay Tritiya 2020 Special Bhajans,Various Artists,26-04-2020,2020,1,1,3201972,3201.972,53.3662,FALSE,15,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.395,0.781,5,-3.928,1,0.0357,0.144,0,0.139,0.731,102.246,4,Hindi
Vishnu Stuti By Suresh Wadkar,Suresh Wadkar,Vishnu Stuti (By Suresh Wadka),Pawan Atwal,18-02-2020,2020,1,1,66750,66.75,1.1125,FALSE,6,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.825,0.675,8,-8.284,1,0.0364,0.544,0,0.189,0.96,132.117,4,Hindi
Achutam Keshavam,Vikram Hazra,Krishna,Vikram Hazra,19-09-2016,2016,1,1,348933,348.933,5.81555,FALSE,0,"bhajan,mantra",0.502,0.611,2,-10.356,1,0.0406,0.18,0,0.146,0.64,92.438,4,Hindi
Shekhar Ravjiani's Hanuman Chalisa,Shekhar Ravjiani,Shekhar Ravjiani's Hanuman Chalisa - Zee Music Devotional,Shekhar Ravjiani,29-07-2014,2014,1,1,541675,541.675,9.027916667,FALSE,50,"filmi,modern bollywood",0.507,0.387,0,-7.391,1,0.0272,0.844,0,0.0868,0.292,139.876,4,Hindi
Ganpati Aarti - Amitabh Bachchan,Amitabh Bachchan,Sarkar 3 (Original Motion Picture Soundtrack),"Ravi Shankar, Rohan Vinayak, Niladri Kumar",03-05-2017,2017,1,2,243995,243.995,4.066583333,FALSE,37,"classic bollywood,filmi,ghazal",0.449,0.784,1,-8.124,1,0.0559,0.79,0.133,0.0894,0.327,105.106,3,Hindi
Gayatri Mantra - Om Bhur Bhuvah Swaha,Suresh Wadkar,50 Divine and Spiritual Essentials,"Anup Jalota, Suresh Wadkar",31-10-2018,2018,1,28,461597,461.597,7.693283333,FALSE,14,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.431,0.243,7,-10.837,1,0.0308,0.892,3.44E-06,0.0863,0.211,91.088,4,Hindi
Om Jai Jagdish Hare (Aarti),Lata Mangeshkar,Bhajan Mala,"Anup Jalota, Lata Mangeshkar",01-01-2005,2005,1,8,255613,255.613,4.260216667,FALSE,33,"classic bollywood,desi pop,filmi",0.621,0.571,7,-9.048,1,0.0302,0.898,1.56E-06,0.124,0.932,109.115,4,Hindi
Gurbani,"Shankar-Ehsaan-Loy, Daler Mehndi",Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,14-06-2013,2013,1,1,100760,100.76,1.679333333,FALSE,54,"desi pop,filmi,modern bollywood,bhangra,desi hip hop,desi pop,filmi,modern bollywood",0.213,0.268,7,-10.326,1,0.0344,0.173,0.000451,0.129,0.036,112.672,5,Hindi
Yashomati Maiya Se,Sadhana Sargam,"Jago Mohan Pyare, Vol. 1",Sadhana Sargam,17-06-2016,2016,1,3,189623,189.623,3.160383333,FALSE,0,"classic bollywood,filmi,modern bollywood,tamil pop",0.615,0.73,4,-5.3,1,0.105,0.132,1.46E-06,0.111,0.829,142.902,4,Hindi
Ae Malik Tere Bande Hum,"Mahesh Hiremath, Shubhangi Joshi",Prabhat Bhakti,"Mahesh Hiremath, Shubhangi Joshi",05-02-2019,2019,1,3,198452,198.452,3.307533333,FALSE,0,"marathi devotional,marathi devotional",0.754,0.423,2,-9.799,0,0.0279,0.583,0,0.36,0.675,92.521,4,Hindi
