Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Aarti Utaro Maa Ni Aarti Utaro (Khodiyar Aarti),"Mahendra Kapoor, Usha Mangeshkar",Aarti Sangrah (Gujrati),Various Artists,21-04-2021,2021,1,2,397057,397.057,6.617616667,FALSE,1,"classic bollywood,filmi,ghazal,classic bollywood,filmi,ghazal",0.39,0.861,2,-5.052,1,0.0568,0.662,0.000145,0.208,0.651,95.063,4,Gujarati
Khodiyar Che Jogmaya,"Arvind Barot, Bhavna Rana",Khodiyar Che Jogmaya,"Arvind Barot, Bhavna Rana",05-04-2008,2008,1,1,484780,484.78,8.079666667,FALSE,1,gujarati garba,0.449,0.664,1,-7.66,0,0.0534,0.655,0.000171,0.27,0.787,147.849,3,Gujarati
Khodiyar Chalisa,Hemant Chauhan,Khodiyar Amritwani,Hemant Chauhan,11-11-1999,1999,1,1,856702,856.702,14.27836667,FALSE,2,"bhajan,gujarati garba",0.721,0.448,8,-11.184,1,0.042,0.888,0,0.203,0.845,139.37,4,Gujarati
Khodiyar Chalisa,Hemant Chauhan,Khodiyar Chalisa,"Hemant Chauhan, Damyanti Barot",09-09-2012,2012,1,1,730827,730.827,12.18045,FALSE,14,"bhajan,gujarati garba",0.45,0.461,6,-10.484,1,0.0416,0.363,0,0.0724,0.783,72.002,4,Gujarati
Khodiyar Maa No Mantra,Hemant Chauhan,Khodiyar Chalisa,"Hemant Chauhan, Damyanti Barot",09-09-2012,2012,1,4,198269,198.269,3.304483333,FALSE,7,"bhajan,gujarati garba",0.65,0.489,6,-9.227,1,0.0294,0.657,0,0.113,0.823,115.977,4,Gujarati
Shri Khodal Sharanam Mamah,Damyanti Barot,Khodiyar Chalisa,"Hemant Chauhan, Damyanti Barot",09-09-2012,2012,1,3,1985762,1985.762,33.09603333,FALSE,6,Unknown,0.65,0.693,1,-4.942,1,0.0327,0.709,0,0.279,0.73,73.018,4,Gujarati
Maro Helo Sambhado,Praful Dave,Halo Bhathiji Na Mandiriye (Original),Praful Dave,21-05-2010,2010,1,6,825913,825.913,13.76521667,FALSE,1,"gujarati garba,gujarati pop",0.457,0.745,0,-6.662,1,0.0471,0.716,0,0.522,0.776,144.514,4,Gujarati
Amba Taaro Aashro,"Agam Aggarwal, Krimal Acharya",Amba Taaro Aashro,Agam Aggarwal,18-10-2020,2020,1,1,256000,256,4.266666667,FALSE,13,Unknown,0.674,0.415,1,-9.683,1,0.0325,0.0778,0,0.0926,0.395,137.816,3,Gujarati
Shlok,Hemant Chauhan,Dhuni Re Dhakhavi,Hemant Chauhan,24-12-2016,2016,1,1,50784,50.784,0.8464,FALSE,6,"bhajan,gujarati garba",0.288,0.0502,1,-23.611,1,0.0407,0.845,0,0.529,0.512,121.753,4,Gujarati
Hari Halve Halve Hankare,Hemant Chauhan,Dhuni Re Dhakhavi,Hemant Chauhan,24-12-2016,2016,1,2,391457,391.457,6.524283333,FALSE,6,"bhajan,gujarati garba",0.533,0.305,6,-19.484,1,0.028,0.63,0,0.544,0.48,104.779,4,Gujarati
Pankhidane Aa Pijaru,Hemant Chauhan,Dhuni Re Dhakhavi,Hemant Chauhan,24-12-2016,2016,1,3,249215,249.215,4.153583333,FALSE,9,"bhajan,gujarati garba",0.631,0.269,11,-19.366,1,0.0278,0.711,0,0.131,0.827,104.719,4,Gujarati
Ek Laaj Aavya Manva,Hemant Chauhan,Dhuni Re Dhakhavi,Hemant Chauhan,24-12-2016,2016,1,4,347313,347.313,5.78855,FALSE,5,"bhajan,gujarati garba",0.576,0.298,4,-18.84,1,0.0273,0.479,0,0.111,0.793,104.82,4,Gujarati
Jher To Picha Chhe Jaani Jaani,Hemant Chauhan,Dhuni Re Dhakhavi,Hemant Chauhan,24-12-2016,2016,1,5,447814,447.814,7.463566667,FALSE,5,"bhajan,gujarati garba",0.576,0.329,6,-18.784,1,0.0316,0.574,0,0.155,0.887,108.729,4,Gujarati
Lagi Ram Bhajanani Lagani,Hemant Chauhan,Dhuni Re Dhakhavi,Hemant Chauhan,24-12-2016,2016,1,6,246145,246.145,4.102416667,FALSE,4,"bhajan,gujarati garba",0.596,0.372,6,-18.921,1,0.0334,0.687,0,0.0909,0.794,109.659,4,Gujarati
Tedu Re Aavyu Re Durna Gamanu,Hemant Chauhan,Dhuni Re Dhakhavi,Hemant Chauhan,24-12-2016,2016,1,7,404237,404.237,6.737283333,FALSE,4,"bhajan,gujarati garba",0.554,0.259,11,-19.039,1,0.0277,0.416,0,0.456,0.571,104.835,4,Gujarati
Bhitar No Bheru,Hemant Chauhan,Dhuni Re Dhakhavi,Hemant Chauhan,24-12-2016,2016,1,8,302735,302.735,5.045583333,FALSE,5,"bhajan,gujarati garba",0.565,0.25,11,-18.704,1,0.0284,0.659,0,0.313,0.722,105.786,4,Gujarati
