Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Vithu Mauli Tu Mauli Jagachi,"Sudhir Waghmode, Lamrud Padmaja",Vithu Mauli Tu Mauli Jagachi,"Sudhir Waghmode, Lamrud Padmaja",10-02-2020,2020,1,1,322664,322.664,5.377733333,FALSE,27,Unknown,0.311,0.779,1,-1.139,1,0.0509,0.29,0,0.197,0.523,169.759,4,Marathi
Vitthal Vitthal Vitthalla,Adarsh Shinde,Thank U Vithalla,Rohan Rohan,11-10-2017,2017,1,2,247902,247.902,4.1317,FALSE,28,marathi pop,0.423,0.732,8,-6.093,1,0.0673,0.0573,0,0.0894,0.63,102.997,4,Marathi
Runu Jhunu Runu Jhunu Re Bhramara,Lata Mangeshkar,Dnyaneshwar Mauli,Lata Mangeshkar,01-02-1961,1961,1,2,238346,238.346,3.972433333,FALSE,9,"classic bollywood,desi pop,filmi",0.412,0.388,0,-11.689,1,0.0331,0.957,0.00111,0.174,0.415,132.452,3,Marathi
Aaji Soniyacha Dinu,Lata Mangeshkar,Dnyaneshwar Mauli,Lata Mangeshkar,01-02-1961,1961,1,1,222640,222.64,3.710666667,FALSE,6,"classic bollywood,desi pop,filmi",0.377,0.411,6,-10.428,1,0.036,0.933,7.21E-05,0.484,0.551,84.841,4,Marathi
Pratham Tula Vandito,"Vasantrao Deshpande, Anuradha Paudwal",Ashtavinayak (Original Motion Picture Soundtrack),Anil-Arun,01-12-1979,1979,1,4,373560,373.56,6.226,FALSE,16,"hindustani vocal,indian classical,marathi traditional,bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.31,0.426,9,-12.29,1,0.0374,0.984,0.000668,0.216,0.667,76.526,4,Marathi
Abhir Gulal Udhalit Rang,Jitendra Abhisheki,"Mendichya Panavar,Vol. 3","Jitendra Abhisheki, Sant Chokhamela",01-01-1978,1978,1,1,288906,288.906,4.8151,FALSE,22,"hindustani classical,hindustani vocal,indian classical,marathi traditional",0.335,0.473,9,-12.607,1,0.058,0.977,0.251,0.218,0.59,94.746,4,Marathi
Airaneechya Deva Tula,Lata Mangeshkar,Sadhi Mansa,Various Artists,31-12-1965,1965,1,4,214186,214.186,3.569766667,FALSE,32,"classic bollywood,desi pop,filmi",0.618,0.258,7,-13.513,1,0.043,0.987,0.606,0.0793,0.775,110.576,4,Marathi
Hey Ganaraya,Divya Kumar,ABCD 2,Sachin-Jigar,24-08-2018,2018,1,5,292799,292.799,4.879983333,FALSE,42,"desi pop,filmi,indian folk,modern bollywood",0.509,0.933,0,-7.034,1,0.257,0.607,0.0302,0.0595,0.429,118.871,4,Marathi
Durge Durghat Bhari,Ajay,Aga Bai Arechya (Original Motion Picture Soundtrack),Ajay-Atul,18-01-2005,2005,1,1,306000,306,5.1,FALSE,37,marathi pop,0.573,0.389,4,-12.39,1,0.0304,0.537,9.23E-06,0.358,0.354,96.525,3,Marathi
Gondhal,"Shahir Sable, Ajay",Aga Bai Arechya (Original Motion Picture Soundtrack),Ajay-Atul,18-01-2005,2005,1,2,344466,344.466,5.7411,FALSE,41,"marathi traditional,marathi pop",0.701,0.81,10,-6.935,1,0.0848,0.251,5.11E-06,0.0501,0.525,103.004,4,Marathi
