Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Satgur Pyare,"Sunidhi Chauhan, Devenderpal Singh",Ardaas Karaan,"Gippy Grewal, Jatinder Shah",10-08-2019,2019,1,1,284745,284.745,4.74575,FALSE,39,"desi hip hop,desi pop,filmi,modern bollywood,sufi",0.453,0.464,3,-8.745,0,0.0422,0.343,0.00038,0.111,0.317,139.981,4,Punjabi
Ardaas,Hardeep Grewal,Ardaas,Hardeep Grewal,24-09-2018,2018,1,1,278882,278.882,4.648033333,FALSE,38,punjabi pop,0.344,0.683,10,-5.768,0,0.0496,0.738,0,0.213,0.604,83.506,4,Punjabi
Nanak Aadh Jugaadh Jiyo,Diljit Dosanjh,Nanak Aadh Jugaadh Jiyo,Diljit Dosanjh,10-11-2019,2019,1,1,279207,279.207,4.65345,FALSE,48,"desi pop,filmi,modern bollywood,punjabi pop",0.633,0.721,9,-4.648,0,0.0411,0.687,0,0.099,0.592,143.893,4,Punjabi
Aar Nanak Paar Nanak,Diljit Dosanjh,Aar Nanak Paar Nanak,Diljit Dosanjh,19-11-2018,2018,1,1,278785,278.785,4.646416667,FALSE,53,"desi pop,filmi,modern bollywood,punjabi pop",0.544,0.673,2,-5.688,0,0.046,0.769,1.57E-05,0.101,0.389,139.803,4,Punjabi
Satnam Waheguru,Prabh Gill,Satnam Waheguru,Prabh Gill,20-01-2019,2019,1,1,260785,260.785,4.346416667,FALSE,41,"desi hip hop,desi pop,punjabi pop",0.443,0.622,3,-6.987,1,0.0449,0.702,0,0.178,0.379,134.225,4,Punjabi
Ardaas Karaan,Sunidhi Chauhan,Ardaas Karaan,"Gippy Grewal, Jatinder Shah",10-08-2019,2019,1,5,306571,306.571,5.109516667,FALSE,40,"desi hip hop,desi pop,filmi,modern bollywood,sufi",0.637,0.575,10,-6.844,0,0.049,0.515,0,0.107,0.386,119.465,4,Punjabi
Nirbhau Nirvair,Hardeep Grewal,Nirbhau Nirvair,Hardeep Grewal,03-02-2021,2021,1,1,246593,246.593,4.109883333,FALSE,22,punjabi pop,0.77,0.544,2,-6.305,0,0.0473,0.337,0,0.122,0.627,91.02,4,Punjabi
Shukrana,R Nait,Shukrana,R Nait,20-11-2021,2021,1,1,270759,270.759,4.51265,FALSE,35,"desi pop,haryanvi pop,punjabi pop",0.565,0.805,7,-4.41,1,0.268,0.364,0,0.282,0.465,73.444,1,Punjabi
Nanak Ji,Romey Maan,Nanak Ji,Romey Maan,26-09-2021,2021,1,1,237831,237.831,3.96385,FALSE,22,"desi pop,punjabi pop",0.59,0.498,9,-9.796,0,0.0712,0.68,0,0.139,0.27,82.891,4,Punjabi
Mool Mantar,Nimrat Khaira,Mool Mantar,Nimrat Khaira,02-11-2021,2021,1,1,183750,183.75,3.0625,FALSE,26,"desi pop,punjabi pop",0.371,0.112,2,-16.404,0,0.0421,0.946,1.30E-05,0.0862,0.176,140.726,3,Punjabi
Dhiaan Dhar Mehsoos Kar,Diljit Dosanjh,Dhiaan Dhar Mehsoos Kar,Diljit Dosanjh,18-11-2021,2021,1,1,322362,322.362,5.3727,FALSE,49,"desi pop,filmi,modern bollywood,punjabi pop",0.535,0.554,11,-9.979,0,0.0362,0.794,5.51E-05,0.0961,0.342,139.967,4,Punjabi
Baba Nanak,Rajvir Jawanda,Baba Nanak,Rajvir Jawanda,18-11-2021,2021,1,1,302757,302.757,5.04595,FALSE,8,"desi hip hop,desi pop,punjabi pop",0.6,0.757,1,-4.546,1,0.0808,0.422,0,0.146,0.706,80.125,4,Punjabi
Sarbansdani,"Tarsem Jassar, Kulbir Jhinjer",Sarbansdani,"Tarsem Jassar, Kulbir Jhinjer",20-12-2016,2016,1,1,301452,301.452,5.0242,FALSE,39,"desi hip hop,desi pop,punjabi pop,desi pop,punjabi pop",0.578,0.687,11,-6.504,0,0.0926,0.0417,0,0.16,0.481,76.114,4,Punjabi
TEG,"A Kay, Jay Dee",TEG,"A Kay, Jay Dee",20-12-2021,2021,1,1,168510,168.51,2.8085,FALSE,30,"desi pop,punjabi hip hop,punjabi pop",0.534,0.846,0,-0.245,0,0.157,0.287,0,0.814,0.714,187.593,4,Punjabi
Jazbe,Gurmaan Sahota,Jazbe,Gurmaan Sahota,20-12-2021,2021,1,1,174146,174.146,2.902433333,FALSE,3,Unknown,0.645,0.781,0,-4.018,0,0.121,0.556,0,0.0942,0.836,81.774,4,Punjabi
Jazbe,Jordan Sandhu,Jazbe,Jordan Sandhu,25-12-2019,2019,1,1,185853,185.853,3.09755,FALSE,15,"desi hip hop,desi pop,punjabi pop",0.78,0.74,1,-3.663,1,0.0435,0.578,0,0.0947,0.465,81.999,4,Punjabi
Fateh Aa,Ranjit Bawa,Fateh Aa,Ranjit Bawa,28-12-2020,2020,1,1,276717,276.717,4.61195,FALSE,43,"desi pop,punjabi pop",0.62,0.926,4,-2.931,0,0.179,0.528,0,0.165,0.832,155.349,4,Punjabi
Simran,"Bhai Harjinder Singh, Bhai Maninder Singh Ji, Bhai Jatinder Pal Singh Ji",Dubidha Door Karho Vol-31,"Bhai Harjinder Singh, Bhai Maninder Singh Ji, Bhai Jatinder Pal Singh Ji",15-02-2000,2000,1,7,290030,290.03,4.833833333,FALSE,42,"shabad,shabad",0.489,0.355,4,-14.397,1,0.0466,0.945,0.413,0.164,0.43,141.405,4,Punjabi
Aath Pehar Salahey,Bhai Harjinder Singh,Ohla Vol-77,Bhai Harjinder Singh,16-04-2005,2005,1,3,362226,362.226,6.0371,FALSE,15,shabad,0.613,0.464,5,-11.593,0,0.0584,0.716,0,0.0885,0.8,73.901,4,Punjabi
Darsh Tere Ki Pyas Man Lagi,Bhai Maninder Singh Ji,Amrit Kirtan (All Time Hits),Bhai Maninder Singh Ji,2014,2014,1,3,645720,645.72,10.762,FALSE,35,shabad,0.416,0.939,0,-1.13,1,0.0708,0.12,0.00011,0.639,0.876,109.35,4,Punjabi
Tera Tera,Tarsem Jassar,Tera Tera,Tarsem Jassar,19-11-2019,2019,1,1,198260,198.26,3.304333333,FALSE,48,"desi hip hop,desi pop,punjabi pop",0.878,0.866,11,-3.423,1,0.0364,0.242,0,0.113,0.467,115.007,4,Punjabi
Sachi Preet,"Bhai Joginder Singh Ji Riar Ludhiana Wale, Miss Pooja",Sachi Preet,"Bhai Joginder Singh Ji Riar Ludhiana Wale, Miss Pooja",01-01-2005,2005,1,1,872000,872,14.53333333,FALSE,10,"shabad,desi hip hop,desi pop,punjabi pop",0.588,0.65,1,-6.982,0,0.0326,0.5,0,0.0623,0.745,100.048,4,Punjabi
Na Kar Chint Chinta Hai Karte,Bhai Davinder Singh Ji Sodhi,Chinta Mukt,Bhai Davinder Singh Ji Sodhi,05-10-2006,2006,1,1,1761320,1761.32,29.35533333,FALSE,4,Unknown,0.772,0.375,5,-11.072,0,0.152,0.649,0,0.108,0.38,123.298,4,Punjabi
Chinta Chad Achint Raho,Bhai Davinder Singh Ji Sodhi,Chinta Mukt,Bhai Davinder Singh Ji Sodhi,05-10-2006,2006,1,2,1587640,1587.64,26.46066667,FALSE,3,Unknown,0.8,0.449,3,-10.204,1,0.121,0.65,0,0.156,0.63,109.854,4,Punjabi
Nanak Chinta Mat Karho,Bhai Davinder Singh Ji Sodhi,Chinta Mukt,Bhai Davinder Singh Ji Sodhi,05-10-2006,2006,1,3,227773,227.773,3.796216667,FALSE,9,Unknown,0.771,0.549,5,-10.009,0,0.0378,0.44,0,0.404,0.925,124.04,4,Punjabi
Mere Ram Rai,Bhai Joginder Singh Ji Riar,Daas Tere Ki Benti,Bhai Joginder Singh Ji Riar,05-01-2018,2018,1,5,634832,634.832,10.58053333,FALSE,9,shabad,0.582,0.881,8,-3.67,1,0.0737,0.43,0,0.234,0.858,149.963,4,Punjabi
Inhi Ki Kirpa,Bhai Joginder Singh Ji Riar Ludhiana Wale,Vin Boleya Sab Kish Janda,Bhai Joginder Singh Ji Riar Ludhiana Wale,2012,2012,1,2,535720,535.72,8.928666667,FALSE,34,shabad,0.563,0.856,9,-4.518,0,0.0415,0.655,0,0.144,0.825,139.877,4,Punjabi
Ik Til Nahi Visrey,Bhai Manpreet Singh,Ik Til Nahi Visrey (Pran Adhara),Bhai Manpreet Singh,2004,2004,1,1,1041763,1041.763,17.36271667,FALSE,17,shabad,0.698,0.532,9,-10.839,1,0.046,0.347,3.50E-06,0.096,0.699,107.982,4,Punjabi
Jap Jeevaan,Bhai Manpreet Singh,Jap Jeevaan - Prabh Charan Tumhare,Bhai Manpreet Singh,2011,2011,1,1,611134,611.134,10.18556667,FALSE,2,shabad,0.652,0.65,11,-7.285,1,0.0459,0.14,0,0.339,0.83,93.001,4,Punjabi
So Satgur Pyara Mere Naal Hai,Bhai Lakhwinder Singh Ji,So Satgur Pyara Vol-1,Bhai Lakhwinder Singh Ji,01-12-2006,2006,1,1,480986,480.986,8.016433333,FALSE,40,shabad,0.538,0.716,1,-9.246,1,0.0694,0.182,0.0082,0.0839,0.883,136.201,4,Punjabi
Jithe Jaye Bahe,Bhai Ravinder Singh Ji,Aisi Lal Tujh Bin Kaun Kare,Bhai Ravinder Singh Ji,01-10-2009,2009,1,2,502426,502.426,8.373766667,FALSE,35,shabad,0.419,0.85,0,-1.606,1,0.0415,0.427,0,0.26,0.897,79.815,4,Punjabi
Aarti (Aqeedat-E-Sartaaj),Satinder Sartaaj,Aarti (Aqeedat-E-Sartaaj),Satinder Sartaaj,06-11-2019,2019,1,1,1066039,1066.039,17.76731667,FALSE,45,"desi hip hop,desi pop,punjabi pop,sufi",0.586,0.574,1,-5.88,1,0.0467,0.739,0,0.134,0.484,156.055,4,Punjabi
Vin Boleya Sab Kish Janda,Bhai Joginder Singh Ji Riar Ludhiana Wale,Vin Boleya Sab Kish Janda,Bhai Joginder Singh Ji Riar Ludhiana Wale,2012,2012,1,1,668866,668.866,11.14776667,FALSE,39,shabad,0.623,0.802,11,-6.084,1,0.0342,0.491,0,0.106,0.889,125.977,4,Punjabi
