Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Vinayagar Agaval,Bombay Sisters,Vinayagar Chathurti - Celebrations in Songs,"Bombay Sisters, Mahanadhi Shobana, Pushpavanam Kuppusamy",27-07-2017,2017,1,8,667186,667.186,11.11976667,FALSE,0,"carnatic,carnatic vocal,indian classical,tamil devotional",0.627,0.629,6,-6.487,1,0.0403,0.848,0,0.327,0.733,96.85,4,Tamil
Sri Venkateshwara Suprabhatham,M. S. Subbulakshmi,Sri Venkateshwara Suprabhatham,M. S. Subbulakshmi,03-06-1961,1961,1,1,1242280,1242.28,20.70466667,FALSE,0,"carnatic,carnatic vocal,indian classical",0.655,0.404,7,-7.33,1,0.48,0.965,0,0.404,0.771,100.65,4,Tamil
Kandha Sashti Kavacham,Sulamangalam Sisters,Kandha Sashti Kavacham And Sri Skandhaguru Kavacham,Sulamangalam Sisters,01-12-1972,1972,1,1,1223800,1223.8,20.39666667,FALSE,0,"carnatic vocal,tamil devotional",0.677,0.351,2,-16.1,0,0.0507,0.838,0,0.0978,0.715,117.438,4,Tamil
Sri Skandhaguru Kavacham,Sulamangalam Sisters,Kandha Sashti Kavacham And Sri Skandhaguru Kavacham,Sulamangalam Sisters,01-12-1972,1972,1,2,1341746,1341.746,22.36243333,FALSE,0,"carnatic vocal,tamil devotional",0.641,0.494,0,-8.186,1,0.0597,0.959,0,0.0706,0.667,116.713,3,Tamil
Mahishasura Mardhini,Sulamangalam Sisters,Mahishasura Mardhini & Other Devi Stothras,Sulamangalam Sisters,2008,2008,1,1,870144,870.144,14.5024,FALSE,0,"carnatic vocal,tamil devotional",0.687,0.724,6,-6.45,1,0.0312,0.813,0,0.114,0.96,128.211,4,Tamil
Gayatri Mantra,Shankar Mahadevan,Gayatri Mantra,Shankar Mahadevan,01-01-2006,2006,1,1,1188680,1188.68,19.81133333,FALSE,21,"desi hip hop,desi pop,filmi,modern bollywood",0.5,0.059,9,-13.556,1,0.0514,0.864,0,0.082,0.522,89.516,3,Tamil
"Sri Venkateswara Suprabhatham, Pt. 1","M. S. Subbulakshmi, Radha Viswanathan",Sri Venkateswara Suprabhatam Sanskrit,Various Artists,04-02-1999,1999,1,1,1234640,1234.64,20.57733333,FALSE,26,"carnatic,carnatic vocal,indian classical,carnatic vocal,indian classical",0.687,0.222,7,-12.722,1,0.73,0.985,4.24E-05,0.0979,0.769,101.555,1,Tamil
Kandha Shashti Kavacham - Language: Tamil; Genre: Murugan,Mahanadhi Shobana,Kandha Shashti Kavacham,Mahanadhi Shobana,01-01-1996,1996,1,1,1382600,1382.6,23.04333333,FALSE,42,tamil devotional,0.793,0.486,0,-8.285,1,0.0406,0.837,0,0.0863,0.82,116.937,4,Tamil
Kandha Mughangal - Language: Tamil; Genre: Murugan,Mahanadhi Shobana,Kandha Shashti Kavacham,Mahanadhi Shobana,01-01-1996,1996,1,2,388066,388.066,6.467766667,FALSE,23,tamil devotional,0.507,0.611,7,-7.711,1,0.0375,0.782,3.96E-06,0.31,0.698,89.827,4,Tamil
Ninaikkaadha Neramillai - Language: Tamil; Genre: Murugan,Mahanadhi Shobana,Kandha Shashti Kavacham,Mahanadhi Shobana,01-01-1996,1996,1,3,385200,385.2,6.42,FALSE,23,tamil devotional,0.61,0.587,2,-7.885,0,0.0368,0.79,1.69E-06,0.126,0.95,142.803,3,Tamil
Azhagaana Pazhani - Language: Tamil; Genre: Murugan,Mahanadhi Shobana,Kandha Shashti Kavacham,Mahanadhi Shobana,01-01-1996,1996,1,4,295493,295.493,4.924883333,FALSE,25,tamil devotional,0.49,0.615,9,-6.131,0,0.0873,0.864,4.16E-06,0.306,0.841,155.789,3,Tamil
