Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Sri Venkatesa Suprabatham,Anuradha Krishnamoorthy,Suprabatham,Anuradha Krishnamoorthy,21-11-1999,1999,1,1,1301269,1301.269,21.68781667,FALSE,34,telugu devotional,0.391,0.633,9,-5.947,1,0.0541,0.766,0,0.0895,0.835,86.747,3,Telugu
Shree Ganeshay Dheemahi,Ajay-Atul,Ganesha Symphonic Chants Experience,Ajay-Atul,2001,2001,1,3,407706,407.706,6.7951,FALSE,45,"desi hip hop,desi pop,filmi,modern bollywood",0.61,0.293,6,-15.063,0,0.0331,0.728,0,0.102,0.512,139.832,4,Telugu
Kondalalo Nelakonna,"Annamayya Keerthana, S. P. Balasubrahmanyam",Annamayya,M. M. Keeravani,01-01-1997,1997,1,12,89202,89.202,1.4867,FALSE,43,"telugu devotional,filmi",0.685,0.73,5,-8.058,1,0.0903,0.536,0.00754,0.273,0.611,77.854,4,Telugu
Paluke Bangaramayera,"M. M. Keeravani, K. S. Chithra",Sri Ramadasu,M. M. Keeravani,13-01-2006,2006,1,13,237718,237.718,3.961966667,FALSE,41,"classic tollywood,filmi,filmi",0.593,0.374,9,-7.138,0,0.0279,0.672,0,0.081,0.492,95.933,4,Telugu
Andhari Bhanduvayya,S. P. Balasubrahmanyam,Devullu,Vandemataram Srinivas,09-05-2001,2001,1,2,340656,340.656,5.6776,FALSE,40,filmi,0.66,0.858,7,-5.127,0,0.0856,0.187,0,0.737,0.703,89.943,4,Telugu
Bhadra Shaila,Hariharan,Sri Ramadasu,M. M. Keeravani,13-01-2006,2006,1,14,297536,297.536,4.958933333,FALSE,40,"filmi,ghazal,tamil pop",0.493,0.609,10,-8.425,1,0.0759,0.642,0,0.201,0.835,106.012,4,Telugu
Maha Kanaka Durga,S. Janaki,Devullu,Vandemataram Srinivas,09-05-2001,2001,1,4,309514,309.514,5.158566667,FALSE,39,"classic kollywood,filmi",0.504,0.862,1,-5.107,1,0.0762,0.35,0,0.54,0.77,127.015,4,Telugu
Nigama Nigamantha,"Annamayya Keerthana, S. P. Balasubrahmanyam, K. S. Chithra",Annamayya,M. M. Keeravani,01-01-1997,1997,1,15,235323,235.323,3.92205,FALSE,44,"telugu devotional,filmi,filmi",0.414,0.681,0,-3.71,0,0.0398,0.87,4.39E-06,0.241,0.636,97.901,4,Telugu
Sri Ram Ramethi,M. M. Keeravani,Sri Ramadasu,M. M. Keeravani,13-01-2006,2006,1,11,43982,43.982,0.733033333,FALSE,38,"classic tollywood,filmi",0.361,0.199,3,-15.677,1,0.0357,0.881,0.000335,0.311,0.465,85.878,3,Telugu
Sirula Nosage,"Swarnalatha, Sujatha",Devullu,Vandemataram Srinivas,09-05-2001,2001,1,3,332570,332.57,5.542833333,FALSE,37,"filmi,tamil pop,filmi,malayalam pop",0.492,0.86,1,-4.176,1,0.0639,0.199,0,0.218,0.88,181.557,4,Telugu
Deva Shree Ganesha,"Ajay-Atul, Ajay Gogavale",Agneepath (Original Motion Picture Soundtrack),Ajay-Atul,16-12-2011,2011,1,6,356826,356.826,5.9471,FALSE,57,"desi hip hop,desi pop,filmi,modern bollywood,desi pop,filmi,modern bollywood",0.34,0.96,1,-5.427,1,0.0802,0.238,4.32E-06,0.0378,0.475,150.04,4,Telugu
Govindha Hari Govindha,"Srinidhi, Dhanunjay Seepana",Om Namo Venkatesaya,M. M. Keeravani,08-01-2017,2017,1,12,322757,322.757,5.379283333,FALSE,36,tollywood,0.658,0.695,5,-8.722,1,0.0374,0.647,0.000462,0.145,0.807,175.921,4,Telugu
Brahmanda Bhandamula,M. M. Keeravani,Om Namo Venkatesaya,M. M. Keeravani,08-01-2017,2017,1,4,76138,76.138,1.268966667,FALSE,36,"classic tollywood,filmi",0.698,0.518,10,-7.463,0,0.0312,0.739,3.19E-05,0.171,0.743,117.967,4,Telugu
Aanandham,"Sarath Santosh, Shweta Pandit",Om Namo Venkatesaya,M. M. Keeravani,08-01-2017,2017,1,2,245225,245.225,4.087083333,FALSE,33,"tollywood,filmi,modern bollywood",0.65,0.732,4,-6.389,0,0.104,0.839,1.64E-06,0.154,0.772,152.951,3,Telugu
